Domain,Agency,URL,M-15-13 Compliant,Valid HTTPS,Defaults to HTTPS,HSTS,Free of RC4/3DES and SSLv2/SSLv3,﻿Any 3DES (sslyze)1,Any RC4 (sslyze)1,SSLv2 (sslyze)1,SSLv3 (sslyze)1
ritm.gov.ph,Research Institute For Topical Medicine,http://ritm.gov.ph,0,0,0,0,,,,,
sarangani.gov.ph,Province of Government of Sarangani,https://sarangani.gov.ph,0,1,1,0,1,0,0,0,0
sb.judiciary.gov.ph,Sandiganbayan,http://sb.judiciary.gov.ph,0,0,0,0,,,,,
sc.judiciary.gov.ph,Supreme Court of the Philippines,http://sc.judiciary.gov.ph,0,0,0,0,,,,,
sec.gov.ph,Securities and Exchange Commission,http://www.sec.gov.ph,0,1,0,0,0,1,1,0,1
senate.gov.ph,Senate of the Philippines,http://senate.gov.ph,0,0,0,0,,,,,
southcotabato.gov.ph,South Cotabato,http://southcotabato.gov.ph,0,1,0,0,1,0,0,0,0
southernleyte.gov.ph,Southern leyte,http://southernleyte.gov.ph,0,0,0,0,,,,,
sss.gov.ph,Social Security System,https://www.sss.gov.ph,0,1,1,0,1,0,0,0,0
stat.psa.gov.ph,OpenSTAT Philippine Statistics Authority,http://stat.psa.gov.ph,0,0,0,0,,,,,
sultankudaratprovince.gov.ph,Sultan Kudarat,http://sultankudaratprovince.gov.ph,0,0,0,0,,,,,
surigaodel0rte.gov.ph,Province of Surigao del 0rte,http://www.surigaodel0rte.gov.ph,0,0,0,0,,,,,
tagbilaran.gov.ph,City Government of Tagbilaran,https://tagbilaran.gov.ph,0,1,1,0,,,,,
tarlaccity.gov.ph,Tarlac City,http://tarlaccity.gov.ph,0,0,0,0,,,,,
tesda.gov.ph,Technical Education and Skills Development Authority,https://tesda.gov.ph,0,1,1,0,,,,,
tieza.gov.ph,Tieza-Makati,http://tieza.gov.ph,0,0,0,0,0,1,0,0,0
tourism.gov.ph,Department of Tourism,http://tourism.gov.ph,0,0,0,0,,,,,
tpb.gov.ph,Tourism Promotions Board Philippines,https://www.tpb.gov.ph,0,1,1,0,0,1,0,0,0
treasury.gov.ph,Bureau of Treasury,http://www.treasury.gov.ph,0,0,0,0,,,,,
vigancity.gov.ph,Vigan City,http://vigancity.gov.ph,0,0,0,0,,,,,
zambales.gov.ph,Zambales,http://www.zambales.gov.ph,0,0,0,0,,,,,
